1000050,286,15,0,A
1000050,286,16,0,A
1000050,286,24,0,A
1000050,286,25,0,A
1000050,286,27,0,A
1000050,286,37,5,D
1000050,286,39,0,A
1000050,286,40,0,A
1000050,286,45,5,D
1000050,286,51,5,A
1000050,286,59,0,A
1000050,286,68,0,D
1000050,286,69,0,A
1000050,286,70,5,0
1000050,286,71,5,A
1000050,286,87,0,A
1000050,286,97,0,D
1000050,288,15,0,A
1000050,288,16,0,A
1000050,288,24,0,A
1000050,288,25,0,A
1000050,288,27,5,A
1000050,288,37,5,D
1000050,288,39,0,A
1000050,288,40,0,A
1000050,288,45,0,D
1000050,288,51,5,A
1000050,288,59,0,A
1000050,288,68,0,D
1000050,288,69,0,A
1000050,288,71,0,A
1000050,288,87,0,A
1000050,288,9,5,0
1000050,288,97,5,D
1000050,288,98,5,0
1000050,289,15,0,A
1000050,289,16,5,A
1000050,289,24,5,A
1000050,289,25,0,A
1000050,289,27,0,A
1000050,289,37,0,D
1000050,289,39,0,A
1000050,289,40,0,A
1000050,289,45,5,D
1000050,289,46,5,0
1000050,289,51,7,A
1000050,289,59,5,A
1000050,289,68,0,D
1000050,289,69,0,A
1000050,289,71,0,A
1000050,289,72,1,0
1000050,289,73,7,0
1000050,289,74,7,0
1000050,289,75,1,0
1000050,289,87,0,A
1000050,289,97,0,D
1000050,292,15,0,A
1000050,292,16,0,A
1000050,292,24,0,A
1000050,292,25,0,A
1000050,292,27,5,A
1000050,292,37,0,D
1000050,292,39,0,A
1000050,292,40,0,A
1000050,292,45,5,D
1000050,292,51,0,A
1000050,292,59,0,A
1000050,292,68,0,D
1000050,292,69,5,A
1000050,292,71,5,A
1000050,292,87,0,A
1000050,292,97,0,D
1000050,293,15,0,A
1000050,293,16,0,A
1000050,293,24,0,A
1000050,293,25,0,A
1000050,293,27,0,A
1000050,293,37,0,D
1000050,293,39,0,A
1000050,293,40,0,A
1000050,293,45,0,D
1000050,293,51,0,A
1000050,293,59,0,A
1000050,293,68,0,D
1000050,293,69,0,A
1000050,293,71,0,A
1000050,293,87,0,A
1000050,293,97,0,D
1000050,295,15,5,A
1000050,295,16,5,A
1000050,295,24,0,A
1000050,295,25,0,A
1000050,295,27,0,A
1000050,295,37,5,D
1000050,295,39,5,A
1000050,295,40,5,A
1000050,295,45,5,D
1000050,295,51,5,A
1000050,295,52,5,0
1000050,295,59,5,A
1000050,295,68,0,D
1000050,295,69,0,A
1000050,295,71,0,A
1000050,295,87,0,A
1000050,295,97,0,D
1000050,296,15,0,A
1000050,296,16,0,A
1000050,296,24,5,A
1000050,296,25,5,A
1000050,296,27,0,A
1000050,296,37,0,D
1000050,296,39,0,A
1000050,296,40,0,A
1000050,296,45,5,D
1000050,296,51,0,A
1000050,296,59,0,A
1000050,296,68,0,D
1000050,296,69,0,A
1000050,296,71,0,A
1000050,296,87,0,A
1000050,296,97,0,D
1000050,297,15,5,A
1000050,297,16,5,A
1000050,297,24,5,A
1000050,297,25,0,A
1000050,297,27,5,A
1000050,297,37,0,D
1000050,297,39,0,A
1000050,297,40,0,A
1000050,297,45,0,D
1000050,297,51,0,A
1000050,297,59,0,A
1000050,297,68,0,D
1000050,297,69,0,A
1000050,297,71,0,A
1000050,297,87,0,A
1000050,297,97,0,D
1000050,298,15,0,A
